# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.2.9
#@/tick	40058
#@/user_id	stella
a 	啊	c=69 d=3.31908 t=40058
lian bu shang 	連不上	c=1 d=0.108609 t=40058
lian cheng 	連成	c=1 d=0.481462 t=40058
lian dong 	聯動	c=0 d=0.095897 t=40058
lian dong fa zhan ge ju 	聯動發展格局	c=1 d=0.806541 t=40058
lian fan ying 	鏈反應	c=0 d=2.90281e-09 t=40058
lian feng 	連峯	c=1 d=3.49451e-14 t=40058
lian ge 	連個	c=1 d=0.000678925 t=40058
lian he 	聯合	c=3 d=1.08477 t=40058
lian he ban shui 	聯合辦稅	c=1 d=0.215456 t=40058
lian he fen xi 	聯合分析	c=1 d=3.16034e-08 t=40058
lian he mian yi que xian 	聯合免疫缺陷	c=1 d=0.324652 t=40058
lian he shi yan 	聯合試驗	c=1 d=6.59308e-12 t=40058
lian he ti 	聯合體	c=0 d=0.0839457 t=40058
lian he yong yao 	聯合用藥	c=1 d=0.00289433 t=40058
lian ji 	連擊	c=1 d=1 t=40058
lian jie 	聯接	c=1 d=0.477114 t=40058
lian jie 	連接	c=23 d=3.20854 t=40058
lian jie 	鏈接	c=6 d=1.41651 t=40058
lian jie fang shi 	連接方式	c=1 d=0.139457 t=40058
lian jie mei 	連接酶	c=1 d=4.4501e-05 t=40058
lian jie qu 	連接區	c=3 d=0.55504 t=40058
lian jie shu 	連接數	c=1 d=0.980199 t=40058
lian jie zai 	連接在	c=1 d=0.055299 t=40058
lian ju 	聯句	c=2 d=1.94624 t=40058
lian meng 	聯盟	c=2 d=0.999352 t=40058
lian pian 	連片	c=1 d=0.687289 t=40058
lian qi lai 	連起來	c=1 d=0.923116 t=40058
lian ren 	戀人	c=1 d=0.744532 t=40058
lian shang 	臉上	c=1 d=0.778801 t=40058
lian shang 	連上	c=1 d=0.782705 t=40058
lian suo 	連鎖	c=1 d=0.0617291 t=40058
lian tian 	連天	c=0 d=1.87985e-15 t=40058
lian tiao 	鏈條	c=0 d=0.0251579 t=40058
lian tong 	聯通	c=2 d=0.0970446 t=40058
lian wang 	聯網	c=0 d=0.0937067 t=40058
lian xi 	練習	c=5 d=0.140955 t=40058
lian xi 	聯繫	c=20 d=1.68441 t=40058
lian xi bu shang 	聯繫不上	c=1 d=0.256661 t=40058
lian xi le 	聯繫了	c=1 d=0.442639 t=40058
lian xi qun zhong 	聯繫羣衆	c=0 d=0.0752014 t=40058
lian xi shang 	聯繫上	c=1 d=0.278037 t=40058
lian xian 	連線	c=0 d=0.071177 t=40058
lian xiang dao 	聯想到	c=1 d=0.0167392 t=40058
lian xu 	連續	c=7 d=0.57928 t=40058
lian xu de 	連續的	c=1 d=0.0816756 t=40058
lian xu guang yuan 	連續光源	c=1 d=0.683861 t=40058
lian xu san nian 	連續三年	c=1 d=5.42409e-10 t=40058
lian xu xing 	連續型	c=1 d=6.54326e-11 t=40058
lian xu xing 	連續性	c=1 d=0.0841722 t=40058
lian xu xing bian liang 	連續型變量	c=1 d=4.92063e-11 t=40058
lian xu zao sheng 	連續噪聲	c=1 d=2.46806e-11 t=40058
lian yong 	聯用	c=0 d=0.0469101 t=40058
lian yong ji shu 	聯用技術	c=3 d=0.487162 t=40058
lian yu 	煉獄	c=1 d=0.179964 t=40058
lian zai 	連在	c=0 d=0.0179964 t=40058
lian zai le 	連在了	c=1 d=0.180866 t=40058
liang 	亮	c=0 d=1.07324e-09 t=40058
liang 	兩	c=9 d=0.556477 t=40058
liang 	糧	c=0 d=0.0272532 t=40058
liang 	良	c=0 d=1.80024e-09 t=40058
liang 	輛	c=1 d=0.108067 t=40058
liang 	量	c=5 d=1.8847 t=40058
liang an suan 	亮氨酸	c=3 d=0.00190511 t=40058
liang ben 	兩本	c=1 d=0.66365 t=40058
liang ben shu 	兩本書	c=1 d=0.310367 t=40058
liang bian 	兩遍	c=7 d=0.807189 t=40058
liang bian 	兩邊	c=1 d=0.516851 t=40058
liang bu fen 	兩部分	c=1 d=0.186374 t=40058
liang ce 	兩側	c=1 d=0.0875977 t=40058
liang che 	輛車	c=5 d=0.798516 t=40058
liang ci 	兩次	c=4 d=0.67032 t=40058
liang da 	兩大	c=0 d=0.017552 t=40058
liang da lei 	兩大類	c=3 d=0.423162 t=40058
liang da mei 	兩大酶	c=-1 d=2.66627e-08 t=40058
liang dian 	兩點	c=4 d=0.718924 t=40058
liang du 	亮度	c=1 d=0.937067 t=40058
liang duan 	兩端	c=1 d=0.0042963 t=40058
liang dun 	兩頓	c=1 d=1.0578e-14 t=40058
liang fang mian 	兩方面	c=1 d=0.618783 t=40058
liang fen 	兩份	c=1 d=1.21593e-06 t=40058
liang fen zi 	兩分子	c=1 d=0.168638 t=40058
liang fu yin 	梁父吟	c=1 d=0.0029528 t=40058
liang gai si 	糧改飼	c=1 d=0.273898 t=40058
liang ge 	亮哥	c=4 d=0.00273586 t=40058
liang ge 	兩個	c=27 d=2.2863 t=40058
liang ge duo yue 	兩個多月	c=1 d=0.460704 t=40058
liang ge jia zu 	兩個家族	c=1 d=0.66034 t=40058
liang ge yi bai nian 	兩個一百年	c=3 d=0.464066 t=40058
liang ge yue 	兩個月	c=1 d=0.151829 t=40058
liang gen 	兩根	c=1 d=0.0065062 t=40058
liang gong yao xiang wang 	兩宮遙相望	c=1 d=7.67728e-09 t=40058
liang gu 	兩股	c=2 d=0.768137 t=40058
liang gu lian 	兩股鏈	c=3 d=1.10377 t=40058
liang guo 	兩國	c=2 d=0.00227984 t=40058
liang guo yuan shou 	兩國元首	c=1 d=0.00121866 t=40058
liang hao 	良好	c=1 d=0.698968 t=40058
liang hao huan jing 	良好環境	c=1 d=0.913931 t=40058
liang hong 	梁鴻	c=2 d=0.00595008 t=40058
liang hua 	量化	c=2 d=0.458406 t=40058
liang hui 	兩回	c=1 d=0.024972 t=40058
liang hui 	兩會	c=1 d=0.343009 t=40058
liang ji 	兩級	c=1 d=0.465334 t=40058
liang ji 	量級	c=1 d=4.03704e-06 t=40058
liang jia 	兩家	c=2 d=0.45612 t=40058
liang jie 	兩節	c=1 d=0.0335406 t=40058
liang kuai 	兩塊	c=1 d=0.271173 t=40058
liang kuai 	涼快	c=2 d=0.270465 t=40058
liang lei 	兩類	c=2 d=0.267008 t=40058
liang liang 	亮亮	c=0 d=0.000194013 t=40058
liang liang 	兩兩	c=0 d=1.05744e-11 t=40058
liang liang 	兩輛	c=3 d=2.3851e-05 t=40058
liang liang bi jiao 	兩兩比較	c=1 d=1.06274e-10 t=40058
liang men 	兩門	c=1 d=0.533338 t=40058
liang ming 	兩名	c=0 d=0.0375311 t=40058
liang nian 	兩年	c=2 d=0.228586 t=40058
liang qi 	亮起	c=1 d=0.348192 t=40058
liang qin hua he wu 	兩禽化合物	c=-1 d=0 t=40058
liang qin hua he wu 	兩親化合物	c=1 d=0.0219278 t=40058
liang quan 	兩圈	c=1 d=0.102284 t=40058
liang ren 	兩人	c=3 d=0.333582 t=40058
liang ren 	良人	c=0 d=9.15021e-16 t=40058
liang ren yu le cheng cong ma 	良人玉勒乘驄馬	c=1 d=9.19607e-15 t=40058
liang san 	兩三	c=1 d=0.798516 t=40058
liang shi an quan 	糧食安全	c=1 d=0.778801 t=40058
liang tian 	兩天	c=5 d=0.198388 t=40058
liang tiao 	兩條	c=6 d=0.110228 t=40058
liang wei 	兩位	c=2 d=8.9782e-10 t=40058
liang wu pan shi gu 	良無盤石固	c=1 d=1.02601e-08 t=40058
liang xiang 	亮相	c=0 d=0.0299692 t=40058
liang xiang 	兩項	c=1 d=0.680451 t=40058
liang xing 	兩性	c=1 d=0.510635 t=40058
liang xing 	良性	c=1 d=0.946485 t=40058
liang xing dian jie zhi 	兩性電解質	c=1 d=0.582748 t=40058
liang xing dian li 	兩性電離	c=1 d=0.565525 t=40058
liang xing jie li 	兩性解離	c=1 d=0.00208081 t=40058
liang xing xun huan 	良性循環	c=1 d=0.26982 t=40058
liang zhang 	兩張	c=1 d=0.213312 t=40058
liang zhe 	兩者	c=2 d=0.697676 t=40058
liang zheng he yi 	兩證合一	c=1 d=0.465334 t=40058
liang zhong 	兩種	c=7 d=1.14315 t=40058
liang zhou 	兩週	c=1 d=0.0161635 t=40058
liang zhou 	涼州	c=0 d=0.0778801 t=40058
liang zhou dong zhuo ju chao tang 	涼州董卓居朝堂	c=1 d=0.782705 t=40058
liang zi 	兩字	c=1 d=0.286184 t=40058
liang zi hua 	量子化	c=1 d=0.600496 t=40058
liang zu 	兩組	c=2 d=0.936249 t=40058
liao 	了	c=8 d=3.61454 t=40058
liao 	聊	c=0 d=7.37626e-10 t=40058
liao ba 	了吧	c=1 d=1 t=39900
liao dao 	潦倒	c=0 d=1.55456e-15 t=40058
liao dao xin ting zhuo jiu bei 	潦倒新停濁酒盃	c=1 d=1.56235e-14 t=40058
liao fa 	療法	c=1 d=0.021068 t=40058
liao hou bu wei bo 	聊厚不爲薄	c=1 d=7.41322e-09 t=40058
liao jie 	瞭解	c=7 d=1.02318 t=40058
liao jie le 	瞭解了	c=1 d=0.618783 t=40058
liao kuo 	寥廓	c=0 d=4.94698e-16 t=40058
liao kuo 	遼闊	c=1 d=0.489192 t=40058
liao kuo yi gao xiang 	寥廓已高翔	c=1 d=4.97177e-15 t=40058
liao le 	了了	c=3 d=1.18529 t=40058
liao ran 	瞭然	c=1 d=0.522046 t=40058
liao shui jin er han tan qing 	潦水盡而寒潭清	c=1 d=2.59505e-13 t=40058
liao tian 	聊天	c=1 d=0.000804733 t=40058
liao wang 	瞭望	c=0 d=0.0371577 t=40058
liao wang zhe 	瞭望者	c=1 d=0.373439 t=40058
liao zao 	醪糟	c=1 d=4.11859e-06 t=40058
lie 	列	c=0 d=2.18407e-15 t=40058
lie 	烈	c=0 d=0.00428521 t=40058
lie 	裂	c=1 d=0.113162 t=40058
lie biao 	列表	c=1 d=0.67032 t=40058
lie chu 	列出	c=1 d=0.852144 t=40058
lie chu lai 	列出來	c=1 d=0.606531 t=40058
lie he mei lei 	裂合酶類	c=1 d=0.404542 t=40058
lie jie 	裂解	c=1 d=0.163672 t=40058
lie jie mei lei 	裂解酶類	c=1 d=0.402524 t=40058
lie lian biao 	列聯標	c=-1 d=1.63059e-17 t=40058
lie lian biao 	列聯表	c=1 d=1.08421e-10 t=40058
lie que pi li 	列缺霹靂	c=1 d=2.09843e-14 t=40058
lie ren 	獵人	c=2 d=0.985112 t=40058
lie ru 	列入	c=1 d=0.0623495 t=40058
lie shou 	獵手	c=0 d=0.0847894 t=40058
lin 	凜	c=0 d=1.79249e-14 t=40058
lin 	臨	c=0 d=1.08699e-13 t=40058
lin 	鄰	c=0 d=2.43804e-15 t=40058
lin ba 	淋巴	c=0 d=0.0950806 t=40058
lin ba guan 	淋巴管	c=0 d=0.0390628 t=40058
lin ba jie 	淋巴結	c=9 d=0.689525 t=40058
lin ba lv pao 	淋巴濾泡	c=1 d=0.00982472 t=40058
lin ba mu xi bao 	淋巴母細胞	c=1 d=0.00946646 t=40058
lin ba qi guan 	淋巴器官	c=5 d=0.0804596 t=40058
lin ba xi 	淋巴系	c=1 d=0.236928 t=40058
lin ba xi bao 	淋巴細胞	c=34 d=1.07649 t=40058
lin ba xi bao gui chao 	淋巴細胞歸巢	c=2 d=0.966125 t=40058
lin ba xi bao ku 	淋巴細胞庫	c=1 d=0.000457378 t=40058
lin ba xi bao zai xun huan 	淋巴細胞再循環	c=3 d=0.074673 t=40058
lin ba xiao jie 	淋巴小結	c=2 d=0.00986108 t=40058
lin ba yang 	淋巴樣	c=2 d=0.721513 t=40058
lin ba yang gan xi bao 	淋巴樣幹細胞	c=1 d=0.00392653 t=40058
lin ba yang zu xi bao 	淋巴樣祖細胞	c=1 d=0.00269866 t=40058
lin ba ye 	淋巴液	c=2 d=0.400762 t=40058
lin ba ying 	淋巴應	c=-1 d=5.26289e-08 t=40058
lin ba zhu zhi 	淋巴主旨	c=-1 d=2.23861e-10 t=40058
lin ba zu zhi 	淋巴組織	c=4 d=0.168959 t=40058
lin bao 	拎包	c=1 d=0.00360656 t=40058
lin bie zeng yan 	臨別贈言	c=1 d=4.54308e-13 t=40058
lin chuan 	臨川	c=0 d=3.13807e-14 t=40058
lin chuang 	臨牀	c=2 d=0.409425 t=40058
lin chuang chang jian 	臨牀常見	c=1 d=0.275271 t=40058
lin chuang chang jian ji bing 	臨牀常見疾病	c=3 d=0.808155 t=40058
lin chuang ji bing 	臨牀疾病	c=1 d=0.0735345 t=40058
lin chuang shi yan 	臨牀試驗	c=2 d=5.22123e-12 t=40058
lin chuang yi xue 	臨牀醫學	c=2 d=0.0276344 t=40058
lin chuang ying yong 	臨牀應用	c=1 d=0.0098528 t=40058
lin chuang yong xie 	臨牀用血	c=1 d=0.516851 t=40058
lin chuang yu xue 	臨牀雨雪	c=-1 d=1.61327e-09 t=40058
lin chuang zhen liao fu wu 	臨牀診療服務	c=1 d=0.477114 t=40058
lin chuang zhi liao 	臨牀治療	c=2 d=1.21619 t=40058
lin di zi zhi chang zhou 	臨帝子之長洲	c=1 d=2.64747e-13 t=40058
lin feng 	臨風	c=0 d=1.35824e-15 t=40058
lin feng ting mu chan 	臨風聽暮蟬	c=1 d=1.36505e-14 t=40058
lin gao zhi xia 	臨皋之下	c=1 d=1.96129e-13 t=40058
lin hu qi bu ke liu ye 	凜乎其不可留也	c=1 d=1.80148e-13 t=40058
lin jian 	林間	c=0 d=3.37431e-15 t=40058
lin jiang 	臨江	c=0 d=1.05507e-14 t=40058
lin jie dian 	臨界點	c=1 d=6.49492e-12 t=40058
lin jie ju zhen 	鄰接矩陣	c=5 d=0.202634 t=40058
lin jin 	臨近	c=3 d=0.0789457 t=40058
lin jin 	鄰近	c=0 d=0.0763379 t=40058
lin jin xiao ying 	臨近效應	c=-1 d=1.14236e-07 t=40058
lin jin xiao ying 	鄰近效應	c=3 d=2.5087 t=40058
lin mu suan 	磷鉬酸	c=1 d=0.174645 t=40058
lin shi 	臨時	c=3 d=0.0714962 t=40058
lin shi jiu zhu 	臨時救助	c=1 d=0.353043 t=40058
lin shi jiu zhu bei yong jin zhi du 	臨時救助備用金制度	c=1 d=0.349938 t=40058
lin shi jiu zhu zhi du 	臨時救助制度	c=2 d=0.320096 t=40058
lin suan 	磷酸	c=6 d=0.488055 t=40058
lin suan duo tie chun 	磷酸多萜醇	c=1 d=0.0290133 t=40058
lin suan er zhi jian 	磷酸二酯鍵	c=2 d=0.14808 t=40058
lin suan hua 	磷酸化	c=1 d=0.733447 t=40058
lin suan ji 	磷酸基	c=3 d=0.684874 t=40058
lin suan jian 	磷酸鍵	c=1 d=0.506617 t=40058
lin suan na 	磷酸鈉	c=1 d=0.341298 t=40058
lin suan wu tang 	磷酸戊糖	c=2 d=1.0046e-06 t=40058
lin suan wu tang tu jing 	磷酸戊糖途徑	c=1 d=5.62992e-07 t=40058
lin suan zhi jian 	磷酸酯鍵	c=1 d=0.0780817 t=40058
lin tiao 	臨眺	c=0 d=1.25382e-15 t=40058
lin wu suan 	磷鎢酸	c=1 d=0.1764 t=40058
lin xi 	淋洗	c=0 d=0.0125454 t=40058
lin xi ji 	淋洗劑	c=2 d=0.131207 t=40058
lin xi ye 	淋洗液	c=1 d=0.125556 t=40058
lin zhi 	磷脂	c=5 d=2.91476e-06 t=40058
lin zou 	臨走	c=3 d=0.956934 t=40058
ling 	令	c=1 d=0.148342 t=40058
ling 	凌	c=0 d=3.93264e-14 t=40058
ling 	另	c=1 d=0.828175 t=40058
ling 	聆	c=0 d=5.30567e-16 t=40058
ling 	陵	c=0 d=7.19413e-10 t=40058
ling 	零	c=1 d=0.0337902 t=40058
ling 	領	c=3 d=0.925264 t=40058
ling 	齡	c=0 d=4.11075e-14 t=40058
ling chen 	凌晨	c=1 d=8.48904e-15 t=40058
ling cun wei 	另存爲	c=1 d=0.158025 t=40058
ling dan ping heng 	零氮平衡	c=1 d=2.99172e-10 t=40058
ling dao 	領導	c=2 d=1.0207 t=40058
ling dao gan bu 	領導幹部	c=3 d=1.25545 t=40058
ling dao ji guan 	領導機關	c=1 d=1.7646e-05 t=40058
ling dao ren 	領導人	c=10 d=3.16338 t=40058
ling dao ren min 	領導人民	c=1 d=0.744532 t=40058
ling dao xia 	領導下	c=2 d=0.932394 t=40058
ling dao xia de 	領導下的	c=1 d=0.163654 t=40058
ling dao xiao zu 	領導小組	c=0 d=0.0379083 t=40058
ling de 	令德	c=0 d=7.95075e-10 t=40058
ling de chang gao yan 	令德唱高言	c=1 d=7.9906e-09 t=40058
ling dian 	零點	c=1 d=0.904837 t=40058
ling dong 	靈動	c=1 d=0.609571 t=40058
ling gan 	靈感	c=1 d=0.00301245 t=40058
ling guo 	領過	c=0 d=0.00230521 t=40058
ling guo le 	領過了	c=1 d=0.0231676 t=40058
ling huo 	靈活	c=1 d=8.15618e-15 t=40058
ling huo duo yang 	靈活多樣	c=1 d=0.162838 t=40058
ling huo xing 	靈活性	c=1 d=0.139457 t=40058
ling jun 	領軍	c=0 d=0.00555762 t=40058
ling jun zhe 	領軍者	c=1 d=0.0558548 t=40058
ling min 	靈敏	c=0 d=0.020089 t=40058
ling min du 	靈敏度	c=4 d=0.91529 t=40058
ling qing 	領情	c=1 d=0.0194482 t=40058
ling qu 	領取	c=3 d=0.923116 t=40058
ling ren 	令人	c=0 d=6.70776e-10 t=40058
ling sheng mu 	零聲母	c=1 d=0.109154 t=40058
ling shui 	陵水	c=1 d=6.62726e-14 t=40058
ling tian 	另天	c=-1 d=1.32084e-09 t=40058
ling wai 	另外	c=5 d=0.99005 t=40058
ling wan qing zhi mang ran 	凌萬頃之茫然	c=1 d=8.29947e-14 t=40058
ling xian 	領先	c=0 d=7.03587e-13 t=40058
ling xian shi jian pian yi 	領先時間偏倚	c=1 d=7.07114e-12 t=40058
ling yi 	另一	c=1 d=0.506617 t=40058
ling yi bu fen ren 	另一部分人	c=1 d=0.0325493 t=40058
ling yi ci 	另一次	c=1 d=0.332871 t=40058
ling yi duan 	另一端	c=1 d=0.444858 t=40058
ling yi fang mian 	另一方面	c=2 d=0.0186856 t=40058
ling yi ge 	另一個	c=7 d=1.69838 t=40058
ling yi ge shi 	另一個是	c=1 d=0.67368 t=40058
ling yi gu lian 	另一股鏈	c=2 d=0.853258 t=40058
ling yi wu zhong 	另一五種	c=-1 d=4.76207e-08 t=40058
ling yi wu zhong 	另一物種	c=1 d=0.316637 t=40058
ling yi zhong 	另一種	c=1 d=0.0784731 t=40058
ling yi zu 	另一組	c=1 d=0.0155297 t=40058
ling you 	另有	c=1 d=4.35294e-10 t=40058
ling yu 	領域	c=5 d=1.504 t=40058
ling yun 	凌雲	c=0 d=4.34318e-14 t=40058
liu 	六	c=2 d=0.390628 t=40058
liu 	劉	c=0 d=0.108319 t=40058
liu 	柳	c=0 d=6.87757e-10 t=40058
liu 	流	c=0 d=0.285385 t=40058
liu 	留	c=2 d=0.694197 t=40058
liu 	硫	c=0 d=1.50559e-07 t=40058
liu an su 	硫胺素	c=1 d=4.55329e-10 t=40058
liu biao 	劉表	c=0 d=0.0810584 t=40058
liu biao jun lv tun jing xiang 	劉表軍旅屯荊襄	c=1 d=0.814647 t=40058
liu bie 	留別	c=0 d=1.83343e-15 t=40058
liu cheng 	流程	c=5 d=1.4528 t=40058
liu chu 	流出	c=2 d=0.00457007 t=40058
liu chu qi shan 	六出祁山	c=0 d=0.0904837 t=40058
liu chuan 	流傳	c=1 d=0.00449405 t=40058
liu chun qu yu jin 	流春去欲盡	c=1 d=4.62368e-14 t=40058
liu da lei 	六大類	c=1 d=0.634448 t=40058
liu dai 	六代	c=1 d=3.3552e-06 t=40058
liu dai ba bi tuo suan xian se fa 	硫代巴比妥酸顯色法	c=1 d=2.05583e-08 t=40058
liu dao 	六道	c=0 d=1.5931e-09 t=40058
liu dao 	留到	c=0 d=0.0995012 t=40058
liu dao ti 	六道題	c=1 d=1.60108e-08 t=40058
liu dian 	六點	c=2 d=1.44899e-06 t=40058
liu dong 	流動	c=1 d=0.0678809 t=40058
liu dong xiang 	流動相	c=15 d=0.264598 t=40058
liu dong xiang li zi se pu fa 	流動相離子色譜法	c=1 d=0.106992 t=40058
liu ge 	六個	c=1 d=0.0621885 t=40058
liu ge zi 	六個字	c=1 d=0.625002 t=40058
liu guang 	流光	c=0 d=8.63817e-15 t=40058
liu hai yang 	劉海洋	c=1 d=0.377192 t=40058
liu he 	六合	c=0 d=0.0794534 t=40058
liu he jian xiong jie ying yang 	六合奸雄皆鷹揚	c=1 d=0.798516 t=40058
liu kou 	六口	c=2 d=0.332871 t=40058
liu lan qi 	瀏覽器	c=3 d=1.93675 t=40058
liu le 	流了	c=2 d=0.217621 t=40058
liu le 	留了	c=1 d=0.218712 t=40058
liu liang 	流量	c=2 d=0.895522 t=40058
liu lin 	劉琳	c=1 d=9.40133e-10 t=40058
liu long 	六龍	c=0 d=3.17781e-15 t=40058
liu mang 	流氓	c=2 d=0.322839 t=40058
liu qi shi 	六七十	c=1 d=0.57695 t=40058
liu shi 	六是	c=1 d=0.847894 t=40058
liu shi 	流失	c=1 d=0.843665 t=40058
liu shi 	流式	c=1 d=0.489192 t=40058
liu shi xi bao guang du ji 	流式細胞光度計	c=1 d=0.960789 t=40058
liu shi xi bao ji liang shu 	流式細胞計量術	c=1 d=0.965605 t=40058
liu shui 	流水	c=4 d=0.366045 t=40058
liu shui ru you yi 	流水如有意	c=1 d=1.22286e-14 t=40058
liu suan 	硫酸	c=0 d=0.304998 t=40058
liu suan jiao zhi su 	硫酸角質素	c=1 d=0.767206 t=40058
liu suan pi fu su 	硫酸皮膚素	c=1 d=0.759572 t=40058
liu suan ruan gu su lei 	硫酸軟骨素類	c=1 d=0.755784 t=40058
liu suan tong 	硫酸銅	c=1 d=0.219808 t=40058
liu suan ya tie 	硫酸亞鐵	c=1 d=0.918512 t=40058
liu suan yi xian gan su 	硫酸乙酰肝素	c=1 d=0.782705 t=40058
liu ti 	流體	c=0 d=0.0278037 t=40058
liu ti dong li 	流體動力	c=0 d=2.43133e-12 t=40058
liu ti dong li xing zao sheng 	流體動力性噪聲	c=1 d=2.44351e-11 t=40058
liu tong 	流通	c=1 d=0.965605 t=40058
liu xian 	流霰	c=4 d=1.07929 t=40058
liu xiao 	留校	c=1 d=0.00197932 t=40058
liu xing 	流星	c=1 d=1.27519e-12 t=40058
liu xing 	流行	c=1 d=1.27892e-12 t=40058
liu xing bing 	流行病	c=1 d=0.798516 t=40058
liu xing bing xue 	流行病學	c=4 d=0.891366 t=40058
liu xing bing xue de te zheng 	流行病學的特徵	c=1 d=8.03338e-13 t=40058
liu xing bing xue shi yan 	流行病學實驗	c=1 d=4.39743e-12 t=40058
liu xing bing xue yu qi ta xue ke de guan xi ji liu xing bing xue de zhan wang 	流行病學與其他學科的關係及流行病學的展望	c=1 d=8.36123e-13 t=40058
liu xue sheng 	留學生	c=0 d=0.0197899 t=40058
liu yan fu zi ju ba shu 	劉焉父子據巴蜀	c=1 d=0.810584 t=40058
liu zai 	留在	c=1 d=0.467666 t=40058
liu zui yu shan weng 	留醉與山翁	c=1 d=1.3181e-14 t=40058
long 	龍	c=1 d=0.0931205 t=40058
long guang 	龍光	c=0 d=2.27871e-14 t=40058
long guang she niu dou zhi xu 	龍光射牛鬥之墟	c=1 d=2.29012e-13 t=40058
long kou 	龍口	c=1 d=0.88692 t=40058
long kou duo shi 	龍口奪食	c=-1 d=0 t=40058
long men 	龍門	c=0 d=4.27852e-14 t=40058
long tong 	籠統	c=1 d=0.00447164 t=40058
long tou 	龍頭	c=0 d=0.0119433 t=40058
long yin 	龍吟	c=0 d=2.04663e-15 t=40058
long zhao 	籠罩	c=0 d=0.00156858 t=40058
long zhong 	隆重	c=0 d=0.0117655 t=40058
long zhong ji hui 	隆重集會	c=1 d=0.118245 t=40058
long zhong ju xing 	隆重舉行	c=1 d=0.111359 t=40058
lou 	樓	c=1 d=0.806541 t=40058
lou dong 	漏洞	c=1 d=0.625002 t=40058
lou sang 	樓桑	c=1 d=0.852144 t=40058
lou shang 	樓上	c=1 d=3.05164e-08 t=40058
lou xia 	樓下	c=3 d=0.656275 t=40058
lou zhen lv 	漏診率	c=1 d=5.93591e-12 t=40058
lu 	淥	c=0 d=1.97623e-15 t=40058
lu 	爐	c=0 d=0.0375311 t=40058
lu 	路	c=4 d=0.763425 t=40058
lu 	鱸	c=0 d=1.53512e-14 t=40058
lu chang 	鹿場	c=-1 d=8.72054e-08 t=40058
lu cheng 	路程	c=3 d=0.0325542 t=40058
lu chu ming 	路出名	c=1 d=2.53098e-13 t=40058
lu dong 	路東	c=1 d=1 t=39960
lu dun 	魯鈍	c=2 d=1.48535 t=40058
lu guo 	路過	c=2 d=8.67557e-06 t=40058
lu hai 	陸海	c=0 d=4.75219e-14 t=40058
lu jin 	路近	c=1 d=0.00283702 t=40058
lu jing 	路徑	c=20 d=0.986985 t=40058
lu kao 	路考	c=1 d=0.0713613 t=40058
lu kou 	路口	c=2 d=0.101266 t=40058
lu ru 	錄入	c=3 d=1 t=40058
lu shang 	路上	c=4 d=0.892563 t=40058
lu shui dang yang qing yuan ti 	淥水盪漾清猿啼	c=1 d=1.98614e-14 t=40058
lu tou 	露頭	c=1 d=3.7363e-07 t=40058
lu xi 	路西	c=1 d=0.311923 t=40058
lu xi nan yong 	路西南永	c=1 d=6.44804e-15 t=40058
lu xian 	路線	c=4 d=0.281416 t=40058
lu xian tu 	路線圖	c=1 d=0.904837 t=40058
lu yin 	錄音	c=1 d=3.59224e-15 t=40058
lu yin ji 	錄音機	c=1 d=0.140858 t=40058
lu you 	路由	c=2 d=1.01252 t=40058
lu yuan 	路遠	c=2 d=0.125005 t=40058
luan 	亂	c=0 d=0.0774916 t=40058
luan 	巒	c=0 d=5.373e-15 t=40058
luan 	鸞	c=0 d=5.0173e-14 t=40058
luan de 	亂的	c=1 d=0.0328764 t=40058
luan wo xin zhe 	亂我心者	c=1 d=6.05686e-14 t=40058
lun 	倫	c=0 d=9.47613e-16 t=40058
lun ban 	輪班	c=0 d=1.62977e-12 t=40058
lun ban lao dong 	輪班勞動	c=1 d=1.63794e-11 t=40058
lun kuo 	輪廓	c=0 d=0.0204948 t=40058
lun li 	倫理	c=1 d=0.021068 t=40058
lun tan 	論壇	c=4 d=0.852365 t=40058
lun wen 	論文	c=7 d=0.993566 t=40058
lun zhuang 	輪狀	c=0 d=7.62186e-13 t=40058
lun zhuang mo xing 	輪狀模型	c=1 d=7.66007e-12 t=40058
luo 	洛	c=0 d=1.49381e-09 t=40058
luo 	落	c=0 d=0.0923116 t=40058
luo bo 	蘿蔔	c=1 d=0.554327 t=40058
luo dao shi chu 	落到實處	c=1 d=0.472367 t=40058
luo di 	落地	c=0 d=0.0213312 t=40058
luo hou 	落後	c=1 d=0.628135 t=40058
luo hu 	落戶	c=0 d=0.0159614 t=40058
luo hu wen ti 	落戶問題	c=1 d=0.160414 t=40058
luo hua 	落花	c=0 d=4.53212e-15 t=40058
luo ji 	羅技	c=2 d=1.53628 t=40058
luo ji 	邏輯	c=1 d=0.98796 t=40058
luo ju 	螺距	c=1 d=0.379083 t=40058
luo lun 	洛倫	c=0 d=0.0247833 t=40058
luo lun zi 	洛倫茲	c=1 d=0.273983 t=40058
luo lun zi zhan kuan 	洛倫茲展寬	c=1 d=0.250324 t=40058
luo ma zi 	羅馬字	c=2 d=0.0633943 t=40058
luo mo 	烙饃	c=1 d=0.965605 t=40058
luo ri 	落日	c=0 d=9.46174e-15 t=40058
luo ri gu ren qing 	落日故人情	c=1 d=5.73272e-14 t=40058
luo ri man qiu shan 	落日滿秋山	c=1 d=1.24134e-14 t=40058
luo shen fu 	洛神賦	c=4 d=1.55372 t=40058
